May 4 Rankings,Leon Edwards,Kamaru Usman,Colby Covington,Khamzat Chimaev,Belal Muhammad,Gilbert Burns,Shavkat Rakhmonov,Stephen Thompson,Geoff Neal,Sean Brady,Vicente Luque,Neil Magny,Michael Chiesa,Jack Della Maddalena,Michel Pereira,Daniel Rodriguez
Leon Edwards,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kamaru Usman,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Colby Covington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khamzat Chimaev,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Belal Muhammad,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Gilbert Burns,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Shavkat Rakhmonov,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Stephen Thompson,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Geoff Neal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sean Brady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vicente Luque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neil Magny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Chiesa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack Della Maddalena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michel Pereira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Rodriguez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0