2020+,Charles O,Justin G,Dustin P,Beneil D,Islam M,Michael C,Rafael A,Tony F,Dan H,Gregor G,Conor M,Rafael F,Mateusz G,Arman T,Brad R,Diego F
Charles O,0,0,0,0,0,88,0,46.4,0,0,0,0,0,0,0,0
Justin G,0,0,0,0,0,48.4,0,37.2,0,0,0,0,0,0,0,0
Dustin P,1.2,64.4,0,0,0,0,0,0,34.8,0,24.8,0,0,0,0,112.6
Beneil D,0,0,0,0,0,0,0,39.4,0,0,0,0,0,0,0,34.9
Islam M,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6,0,0
Michael C,0,0,0,0,0,0,0,0,103.6,0,0,0,0,0,0,0
Rafael A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tony F,0,0,0,0,0,0,45.4,0,0,0,0,0,0,0,0,0
Dan H,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0
Gregor G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
Conor M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rafael F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0
Mateusz G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arman T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brad R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0